Route #,Stop #,Delivery Size,Geocoded Address,Name,Street Address,Street Address #2,City,Zip,Meals
Route 6,10,,28251 Marguerite Pkwy Mission Viejo CA,Taqueros Mexican Restaurant,28251 Marguerite Pkwy,Ste G,Mission Viejo,92692,1
Route 6,11,,28261 Marguerite Pkwy Mission Viejo CA,Family Tree Orthodontics,28261 Marguerite Pkwy,#225,Mission Viejo,92691,1
Route 6,12,,28242 Marguerite Pkwy Mission Viejo CA,South County Lexus,28242 Margerite Parkway,,Mission Viejo,92692,1
Route 6,13,,28231 Marguerite Pkwy Mission Viejo CA,United States Air Force,"28231 Marguerite Parkway, Ste 3",Ste 3,Mission Viejo,92692,1
Route 6,14,,26281 Avery Pkwy Mission Viejo CA,Tempur Pedic,26281 Avery Pkwy,Ste A&B,Mission Viejo,92692,1
Route 6,15,,27692 Camino Capistrano Laguna Niguel CA,On Target Shooting Ranch,27692 Camino Capistrano,,Laguna Niguel,92677,1
Route 6,16,,34522 Camino Capistrano Dana Point CA,OC Real Estate Visuals,34522 Camino Capistrano,,Capistrano Beach,92624,1
Route 6,17,,33122 Valle Rd San Juan Capistrano CA,College & Career Advantage,33122 Valle Road,,San Juan Capistrano,92675,1
Route 6,18,,33122 Valle Rd San Juan Capistrano CA,Capistrano Unified School District,33122 Valle Road,,San Juan Capistrano,92675,1
Route 7,1,,25909 Pala Mission Viejo CA,Pacific Coast CPAs,25909 Pala,#140,Mission Viejo,92691,1
Route 7,2,,25909 Pala Mission Viejo CA,Glenn B Hetzel CPAs,25909 Pala,#320,Mission Viejo,92691,1
Route 7,3,,26021 Pala Mission Viejo CA,DryMaster,26021 Pala,Ste 150,Mission Viejo,92691,1
Route 7,4,,23382 Madero Mission Viejo CA,Kinetik Performance Rehab,23382 Madero,Ste A,Mission Viejo,92691,1
Route 7,5,,23372 Madero Mission Viejo CA,J&M Trophies,23372-A Maderon Road,,Mission Viejo,92691,1
Route 7,6,,23255 Madero Mission Viejo CA,Angels El Toro Transmission,23255 Madero,Ste B101,Mission Viejo,92691,1
Route 7,7,,23162 Los Alisos Blvd Mission Viejo CA,Shahi Jewelry,23162 Los Alisos Blvd,,Mission Viejo,92691,1
Route 7,8,,22996 El Toro Rd Lake Forest CA,Rudy's Christmas Trees,22996 El Toro,Ste 113,Lake Forest,92630,1
Route 7,9,,25542 Jeronimo Rd Mission Viejo CA,Hacienda La Joya,25542 Jeronimo Rd,#6,Mission Viejo,92691,1
Route 7,10,,25631 Peter A Hartman Way Mission Viejo CA,SVUSD,25631 Peter Hartman Way,,Mission Viejo,92691,2
Route 7,11,,23672 Vía Fabricante Mission Viejo CA,A-Z Tech Automotive,23672 Via Fabricante,,Mission Viejo,92691,1
Route 7,12,,25732 Taladro Cir Mission Viejo CA,Smart Cups,25732 Taladro Circle,,Mission Viejo,92691,1
Route 7,13,,25652 Taladro Cir Mission Viejo CA,The Bee Man,25652 Taladro Circle,Ste G,Mission Viejo,92691,1
Route 7,14,,Vía Fabricante Mission Viejo CA,Mission Viejo Auto Collision,"23812 A1 Via Fabricante ",,Mission Viejo,92691,1
Route 7,15,,24002 Vía Fabricante Mission Viejo CA,Custom Comfort Mattress,24002 Via Fabricante,,Mission Viejo,92691,1
Route 7,16,,24002 Vía Fabricante Mission Viejo CA,Sterling Carpet & Flooring,24002 Via Fabricante,#104,Mission Viejo,92691,1
Route 7,17,,25800 Jeronimo Rd Mission Viejo CA,Project Eyecare Optometry,25800 Jeronimo Road,Ste 701,Mission Viejo,92691,1
Route 7,18,,23862 Copenhagen St Mission Viejo CA,Pillar to Post Home Inspectors,23862 Copenhagen St,,Mission Viejo,92691,1
Route 8,1,,24521 Veronica Ct Mission Viejo CA,Beyond Alphabets Preschool,24521 Veronica Ct,,Mission Viejo,92691,1
Route 8,2,,25521 Muirlands Blvd Mission Viejo CA,Kiddie Academy,25521 Muirlands,,Mission Viejo,92691,1
Route 8,3,,24178 Alicia Pkwy Mission Viejo CA,ADIO Chiropractic,24178 Alicia Parkway,,Mission Viejo,92691,1
Route 8,4,,24196 Alicia Pkwy Mission Viejo CA,Acting Academy for Kids,24196 Alicia Parkway,Ste A,Mission Viejo,92691,1
Route 8,5,,24194 Alicia Pkwy Mission Viejo CA,Blue Moon Pilates,24194 Alicia Parkway,Ste A,Mission Viejo,92691,1
Route 8,6,,24190 Alicia Pkwy Mission Viejo CA,"Antonucci's ",24190 Alicia Parkway,Ste 218,Mission Viejo,92691,1
Route 8,7,,24042 Alicia Pkwy Mission Viejo CA,Oggis Pizza & Brewing,24042 Alicia Pkwy,,Mission Viejo,92691,1
Route 8,8,,24000 Alicia Pkwy Mission Viejo CA,Fringe Dance Studio,24000 Alicia Parkway,Ste 26,Mission Viejo,92691,1
Route 8,9,,24000 Alicia Pkwy Mission Viejo CA,Pho King Way,24000 Alicia Parkway,Ste 22-23,Mission Viejo,92691,1
Route 8,10,,24000 Alicia Pkwy Mission Viejo CA,Madrid Chiropractic,24000 Alicia Parkway,Ste 16,Mission Viejo,92691,1
Route 8,11,,23982 Alicia Pkwy Mission Viejo CA,San Diego County Credit Union,23982 Alicia Pkwy,,Mission Viejo,92691,1
Route 8,12,,23962 Alicia Pkwy Mission Viejo CA,Pub Thirty Two,23962 Alicia Prkway,,Mission Viejo,92691,1
Route 8,13,,23962 Alicia Pkwy Mission Viejo CA,Saddleback Family Urgent Care,23962 Alicia Pkway,#I1,Mission Viejo,92691,2
Route 8,14,,25961 Camino Adelanto Mission Viejo CA,Bright Star Insurance Services,25961 Camino Adelanto,,Mission Viejo,92691,1
Route 8,15,,25372 Juniper Dr Mission Viejo CA,Your Franchise Coach,25372 Juniper Drive,,Mission Viejo,92691,1
Route 8,16,,25552 La Paz Rd Laguna Hills CA,Orange County Realtors,25552 La Paz Road,,Laguna Hills,92653,1
Route 8,17,,28202 Cabot Rd Laguna Niguel CA,Star Cleaning System,28202 Cabot Road,Ste 300,Laguna Niguel,92677,1
Route 8,18,,Doheny Park Rd Dana Point CA,Chick's Plumbing,3412 Doheny Park Rd,,Capistrano Beach,92624,1
Route 9,1,,24335 Airporter Way Laguna Niguel CA,Designing Women of OC,24335 Airporter Way,,Laguna Niguel,92677,2
Route 9,2,,27941 La Paz Rd Laguna Niguel CA,Keller Williams Laguna,27941 La Paz Road,#C,Laguna Niguel,92677,1
Route 9,3,,68 Alicia Pkwy Laguna Niguel CA,Bella Kitchen and Bath,24166 - 68 Alicia Parkway,,Mission Viejo,92691,1
Route 9,4,,University Drive Aliso Viejo CA,Soka University,One University Drive,,Aliso Viejo,92656,1
Route 9,5,,1 Liberty Aliso Viejo CA,So Cal Gas,1 Liberty,,Aliso Viejo,95656,1
Route 9,6,,26880 Aliso Viejo Pkwy Aliso Viejo CA,Mouton Niguel Water District,26880 Aliso Viejo Parkway,,Aliso Viejo,92656,1
Route 9,7,,3 Giotto Aliso Viejo CA,CyberDef,3 Giotto,,AV,92656,1
Route 9,8,,24411 Ridge Rte Dr Laguna Hills CA,Braille Institute,24411 Ridge Route Dr,#130,Laguna Hills,92653,2
Route 9,9,,23011 Moulton Pkwy Laguna Hills CA,GlitterBug Gold Buyers,23011 Moulton Pkwy,#A16,Laguna Hills,92653,1
Route 9,10,,7 Whatney Irvine CA,South County Outreach,7 Whatney,Ste B,Irvine,92618,2
Route 9,11,,21482 Vía Serpiente Lake Forest CA,Apex Quality Payroll Solutions,21482 Via Serpiente,,Lake Forest,92630,1
Route 9,12,,15375 Barranca Pkwy Irvine CA,Law Offices of Kurt Varricchio,15375 Barranca Parkway,Ste I-102,Irvine,92618,1
Route 9,13,,15300 Barranca Pkwy Irvine CA,Partners 4 Wellness,15300 Barranca Parkway,Ste 150,Irvine,92618,1
Route 9,14,,24975 Silverleaf Ln Laguna Hills CA,Coach Dave,24975 Silverleaf Lane,,Laguna Hills,92653,1
Route 9,15,,24251 Los Alisos Blvd Lake Forest CA,El Toro Water District,24251 Los Alisos Blvd,,Lake Forest,92630,1
Route 9,16,,24451 Alicia Pkwy Mission Viejo CA,Wild Birds Unlimited,24451 Alicia Pkwy,Ste 98,Mission Viejo,92691,1
Route 9,17,,24451 Alicia Pkwy Mission Viejo CA,Orange Cabinets,24451 Alicia Pkwy,"Ste #4, 218",Mission Viejo,92691,1
Route 9,18,,24451 Alicia Pkwy Mission Viejo CA,Salon Pompei,24451 Alicia Pkwy,Ste 10,Mission Viejo,92691,1
Route 10,1,,180 W Main St Tustin CA,Centric Partners,180 E Main Street,Ste 205,Tustin,92780,1
Route 10,2,,1241 Grand Ave Santa Ana CA,Southern Calif Edison,1241 S Grand Ave,"Bldg D, #24E",Santa Ana,92705,1
Route 10,3,,2222 W 2nd St Santa Ana CA,Monty McGriff Tile,2222 W 2nd St,,Santa Ana,92703,1
Route 10,4,,550 S Main St Orange CA,OCTA,550 S Main St,,Orange,92683,1
Route 10,5,,2200 Vía Burton Anaheim CA,West Coast Arborists,2200 E Via Burton St,,Anaheim,92806,1
Route 10,6,,8107 Loyola Blvd Los Angeles CA,Vancelf Financial Group,8107 Loyola Blvd,,Los Angeles,90045,1
Route 10,7,,3029 Garfield Ave Costa Mesa CA,Spoton Trnsact LLAC,3029 Garfield Ave,,Costa Mesa,92626,1
Route 10,8,,1001 Presidio Square Costa Mesa CA,Coastline ROP,1001 Presideo Square,,Costa Mesa,92626,1
Route 10,9,,20151 SW Birch St Newport Beach CA,Residential First Mortgage,20151 SW Birch Street,Ste 175,Newport Beach,92660,1
